,xpla1vnzz7xyqjaayljtdrug845tdlw33k2pnh47k4e,xpla1j0rc0uraryz205ulycxv7t8a05q35rvpncz3jw,xpla1e8xzemhx36xp7qu2gtllgpcde2z8y498j2zyrk,xpla1qxfrqlf8tpz532w0t5gz76ud4qg398xrr29r65,xpla1vdqljayz7rm04xj9p4du2cgmf3jzfsa0ka9f7l,xpla1vrget09sfejz8l8q0jwucva7pl93at9x5hp8qg,xpla1mfe4yrwkyarsrvncnhw9unfqkjzwcyrj9dt72u,xpla10ksn9528f82uwnmz3sgr4n42l0nucmzntjrg00,xpla19dacf8gzsvuj9txzw0wmtfpdg8swpd4jxl3ks2,xpla15nczwuqh0zcu6syeqsc4td6dphql7n2p7cgkl9raz97z5s3zdjrs0t3sta,xpla1nphwrdqm9ky03c2eccmccrd3atg5usw9ltjn08he850xthxp7c0stg7tpc,xpla1upd858fjdlme0wv4vd2v7c4majyr9dg53rl72dzfhds9zusmn9mq80m5p7,xpla1xwtrcm6huapy90mlckfhd4vw73x5j6wrzut9afhpmrhnkcy20dus02kf7n,xpla126402sucs3zwreams5adstmvlnzytuegcy2e2dav0g94e990803qudxw78,xpla18nd704wpeagscgg0qg5t9f7nxvdlm87j9255gzcmc73kr59xyd7qh8p9jr,xpla1mjx673u8jq6lmc3xqa2a86hjshnjt29znza62rwcz0hnmcr55qqqx0saff,xpla1jnxy3fdr3l8ck2uw0dnvnfy7mdlgxy2vgunv9k9584ajsjkf0qcszfpfug,xpla1asvgm5x6dm2k2m59pu6t750l0eqswddh8pjulqwe3kvk25tz9g4q640zex,xpla19fr3z4g04344aelwdjxl7vk73a6hec6tpz2m2x90d9ft2ra5sw7qrkmrap,xpla1tddsuf25rrjgl9ty9lazhxe38q66uva7eqak3qz2c8e4yk0gj0yqj23r94,xpla1pplj0vzv57xh64ydh5pkfpv6s0hyj3jxugdlezrl5j64wcyt9yyq2zkens,xpla1gcs4amt2aztnj5xrpprja050jg97ywsc90xh4ylvr6w2zj2f0v9q0vxwuy
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900/01/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
