Key,Values
project-galaxy,Ecosystem,Binance Launchpool,Marketing,Public Sale,Growth Backer Round 1,Advisors & Partners,Early Adopter Rewards,Growth Backer Round 2,Foundation,Team,Treasury
sushi,Development Fund,Liquidity Mining
ethereum-name-service,Airdrop,Community Treasury,Contributors
near,Community Grants,Small and Large Backers,Community Sale,Early Ecosystem,Core Contributors,Foundation Endowment,Operation Grants,Epoch Rewards
hop-protocol,Investors,Team,Future Team,Treasury,Airdrop
mask-network,Foundation Reserve,Angel Round,Team,Private Round - C,Private Round - B,Seed Round,Public Offering,Airdrop,Liquidity Pool,Private Round - A
space-id,Seed Sale,Marketing,Public Sale,Ecosystem Fund,Advisors,Strategic Sale,Team,Community Airdrop,Foundation
singularitynet,Token Sale,Founders,Campaign Supporters,Reward Pool,AGIX-ADA Utility,SingularityNET Foundation
yield-guild-games,Investors,Founders,Community,Advisors,Treasury
sweatcoin,Foundation Treasury,Lockdrop,Seed Round,Private Round,Sweat Co Ltd,Ecosystem,Public Sale,Team & Advisors,Walking Emission
euler,Retroactive Distribution,EulerDAO partners,Euler Labs Shareholders,Project Incubators,Treasury,Employees and Advisors,Community Selected Markets
tornado-cash,Team and Investors,Anonymity Mining,Governance,Airdrop
coin98,Strategic Sale,Seed Sale,Team,Advisors,Binance Launchpad Sale,Ecosystem Growth,Community Development,Treasury
cartesi,Binance Launchpad Sale,Advisors,Foundation Reserve,Seed Sale,Team,Strategic Sale,Private Sale,Mining Reserve
oec-token,OKT Staking rewards
stepn,Private Sale,Advisors,Move and Earn,Binance Launchpad Sale,Team,Ecosystem/Treasury
ribbon-finance,Retroactive Airdrop Recipients,Initial Market Makers,Current and Future Team,Liquidity Mining Participants,Community Treasury,Current Investors,Corporate Property
the-sandbox,Binance Launchpad,Team,Advisors,Foundation,Company Reserve,Strategic Sale,Seed Sale
ronin,Sky Mavis,Ecosystem Fund,Community,Staking Rewards
edu-coin,Binance Launchpad,Team,Advisors,Strategic Sale,Treasury,Early Contributors,Ecosystem Fund,Operational Expenses,Liquidity
forta,Backer/Contributor/OpenZeppelin,Community
frax-share,Liquidity Programs / Farming  / Community,Team / Founders / Early Project Members,Treasury / Grants / Partnerships / Bug Bountries,Strategic Advisors / Outside Early Contributors,Accredited Private Investors
flow,Community,Pre Launch Backers,Staking Reward,Development Team,Ecosystem Development,Dapper Labs
hedera-hashgraph,Inital Development Costs and Licensing,Network Governance and Operations,Purchase Agreements,Ecosystem and Open Source Development,Unallocated Supply
ftx-token,Round 1 (Seed),Backstop Fund,Safety Fund,FTT Liquidity Fund,Ecosystem Fund,Round 2,Other Rounds,Round 3,User Acquisition Fund,Advisors Tokens,Company Tokens,Team Tokens
acala,Ecosystem Development,Crowdloan Participants,Acala Team,Strategic Partners,Reserve
apecoin,Yuga Labs founder,Launch Contributors 1,Launch Contributors 3,Charity,Launch Contributors 2,Airdrop,Yuga Labs,Treasury
solana,Community,Inflation,Seed Round,Founders,Coinlist Auction,Strategic Round,Foundation,Founding Round,Grant Pool,Validator Round
rocket-pool,Rocket Pool Team,Pre-sale Investor,Node Operators,Public Sale,Protocol DAO Treasury,Oracle DAO
terra-luna-2,Community Pool,Pre-Attack LUNA holders,Pre-Attack aUST holders,Post-Attack LUNA holders,Post-Attack UST holders
moonbeam,Seed Funding,Key Partners & Advisors,Take Flight Community Event,PureStake Early Backers,Treasury,Founders and Early Employees,Parachain Bond Funding,Developer Adoption Program,Future Employee Incentives,Strategic Funding,Liquidity Programs,2021 Moonbeam Crowdloan,Ecosystem Development,Parachain Bond Reserve
pooltogether,Retroactive depositors,Investors,Liquidity mining,New user education,Team/Contributors,Voters,POOL Token Treasury
merit-circle,Team and Advisors,Public Distribution,DAO Treasury,Retroactive Rewards,Community Incentive,Early Investors,Liquidity Rewards
radiant-capital,Team,Core Contributors and Advisor,Radiant DAO Reserve,Incentives for Suppliers and Borrowers,Treasury and LP,Pool 2 liquidity providers
oasis-network,Backers,Partners & Reserve,Foundation,Core Contributors,Community
avalanche-2,Public Sale Option A1,Staking Reward,Private Sale,Strategic Partners,Foundation,Incentivized Testnet Program,Public Sale Option A2,Team,Community & Development Endowment,Public Sale Option B,Seed Sale,Airdrop
uniswap,Early Airdrop,LP Staking Reward,Community Treasury,Team/Investors/Advisors
looksrare,Liquidity Management,Airdrop,Treasury Token,Volume Reward,Staking Reward,Team Token,Strategic Sale
safe,Core Contributors,Community Treasuries,Ecosystem,Strategic Raise (Backers),Users,Safe Foundation
aptos,Foundation,Core contributors,Investors,Community
liquity,Community Issuance,Community Reserve,Team and Advisors,LUSD:ETH Uniswap LPs,Investors,Service Providers,"Liquity AG Endowment
"
immutable-x,Private Sales,Foundation Reserve,Public Sales,Ecosystem Development,Project Development
nym,Mix-Mining,Reserve & Community,Backers,Testnet-Reward,Coinlist Option 1,Team,Coinlist Option 2
polkadot,Auction Sale,Pre-launch distribution,Staking Rewards,Web3 foundation
dydx,Future Employees & Consultants,Employees & Consultants,Community Treasury,Investors,Liquidity Provider Rewards,Liquidity Staking Pool,Retroactive Mining Rewards,Safety Staking Pool,Trading Rewards
dogecoin,Block Reward
the-graph,Edge & Node,Bug Bounties,Early Team & Advisors,New Issuance,Backers,Early Backers,Public GRT Sale,Strategic GRT Sale,Testnet Indexer Rewards,Educational Programs,Curator Program Grants,Graph Foundation
fantom,Team and Founders,Market Development,Block Rewards,Advisor/Contributor,Token Sale
gelato,Public Sale,Team and Future Employees,Private Investors,Community Development
balancer,Liquidity Mining,Fundraising,Initial Liquidity Mining,"Founder, advisors, investor",Ecosystem,Options
curve-dao-token,Community LP,Team and Investors,Employees,Community Reserve,Early Users
axelar,Operation Team,Core Team,Series A Investor,Seed Investor,Community Sale,Series B Investor,Community programs
