timestamp,XDEFI,XKC,XMN,X30,XGM,XNFT
2023-02-12 13:15:00+09:00,138.9080345481,367.4945836941,896.283871597,516.3423712379,298.1786617642,427.7548903888
2023-02-12 14:15:00+09:00,138.7942241778,366.8551423668,896.0448442016,516.1545712066,297.6787318443,426.8406692168
2023-02-12 15:15:00+09:00,138.9771214359,367.2280451143,898.4660020379,516.9908085069,298.2363048646,427.2158544312
2023-02-12 16:15:00+09:00,139.3616590053,366.8393563673,898.7387804704,516.9875646236,299.2446508362,428.1526181945
2023-02-12 17:15:00+09:00,139.2150476612,366.958299172,898.9005568264,517.0375557274,299.5617114953,428.9016411515
2023-02-12 18:15:00+09:00,139.4709060646,366.7962020781,900.2144972517,518.0312577687,300.0767932113,429.8467027618
2023-02-12 19:15:00+09:00,139.6077339292,367.3064862825,903.0978425029,519.2311737712,301.9782650763,432.2953492997
2023-02-12 20:15:00+09:00,140.3901938192,367.2518813174,904.616881226,519.4957682522,302.7839489388,433.5760717334
2023-02-12 21:15:00+09:00,140.2574015303,367.33470339,905.228186983,519.757606015,302.4423734638,433.5456925963
2023-02-12 22:15:00+09:00,139.3894162681,366.1854688668,902.9663298248,518.3074163191,300.170386775,430.0918379494
2023-02-12 23:15:00+09:00,138.7827861982,366.1302878261,901.8015527133,517.7795688279,299.2298462233,428.7367815714
2023-02-13 00:15:00+09:00,139.0195775415,367.0835034302,904.0162267918,519.407885851,300.1418165174,429.6515510108
2023-02-13 01:15:00+09:00,139.6022539206,368.6695938364,912.806857823,522.2642389155,301.1243698447,431.7878072621
2023-02-13 02:15:00+09:00,140.7130978815,369.7062887263,917.5645354252,524.9873944627,302.6987762081,434.127833156
2023-02-13 03:15:00+09:00,139.9692240209,369.8171102939,918.1637962115,524.4714328391,301.7453967159,433.7549426641
2023-02-13 04:15:00+09:00,139.6225456356,369.507554096,917.7323839978,524.0655239045,301.7523250776,433.2402656742
2023-02-13 05:15:00+09:00,139.8851052063,369.6543764802,918.2884247975,524.5923103478,302.5263577441,434.6289102804
2023-02-13 06:15:00+09:00,138.8363818563,368.834421568,915.3815914038,522.9631580775,300.5504366799,432.2007103337
2023-02-13 07:15:00+09:00,134.6265510408,363.2960567502,893.7482019128,513.0106152726,288.8408575095,414.8106693113
2023-02-13 08:15:00+09:00,135.3717416132,364.838753303,900.854801441,516.0071206573,291.531769867,419.7255737163
2023-02-13 09:15:00+09:00,135.3705853001,364.0707682441,897.9158194148,515.5696893661,291.5790083056,419.8609574842
2023-02-13 10:15:00+09:00,134.4740246475,360.9633541741,893.3795193036,513.5553833069,288.0854617444,415.5920865655
2023-02-13 11:15:00+09:00,133.5879729912,358.4674798448,888.8704908113,511.9166662168,285.249523066,411.8947601946
2023-02-13 12:15:00+09:00,133.8763791172,358.1798363024,888.814570533,512.1723579615,285.1011052706,412.7478441353
2023-02-13 13:15:00+09:00,134.773015336,358.816912679,895.0764658242,514.7376585443,287.1884112853,415.5464706704
2023-02-13 14:15:00+09:00,135.1742836196,359.7113390653,896.5069359146,515.9481267642,287.6187038505,416.7651536893
2023-02-13 15:15:00+09:00,134.3679956584,360.2588600162,896.7024598577,516.024672725,286.9075948502,415.933310616
2023-02-13 16:15:00+09:00,134.1039500792,359.2752482454,895.9134956573,515.693871696,286.3889783886,414.8865426247
2023-02-13 17:15:00+09:00,133.8282041802,356.3149824214,887.4003136121,513.1879246336,285.1968460753,412.7050998948
2023-02-13 18:15:00+09:00,130.9638881111,349.6409291205,870.1023295819,505.9881098352,277.8988936881,402.1256071471
2023-02-13 19:15:00+09:00,129.7465169473,346.8941291829,863.5818977688,502.5350628946,275.1329948982,398.1376279812
2023-02-13 20:15:00+09:00,129.9668618866,347.6381926783,864.0159219718,502.560917419,274.7717507349,399.399282781
2023-02-13 21:15:00+09:00,132.7118927045,348.5806402726,865.5932338539,503.8031939795,277.228730257,402.634786703
2023-02-13 22:15:00+09:00,135.7948323327,349.958985494,866.8291743268,504.0816668962,278.3368732169,402.6898433979
2023-02-13 23:15:00+09:00,133.7632511662,348.4547564291,863.1516309747,502.4165839161,276.4095479246,399.9983593855
2023-02-14 00:15:00+09:00,134.9021607176,349.5123393523,863.9460642737,502.9575315489,276.7909873359,399.8474225014
2023-02-14 01:15:00+09:00,134.3786433056,349.1639166513,861.0373975335,502.1364425841,277.1552843834,399.8916159916
2023-02-14 02:15:00+09:00,132.6464422821,347.4097373344,854.3830765328,498.8322951379,274.2102593609,395.0863966642
2023-02-14 03:15:00+09:00,132.0991244416,347.2728782303,854.8076490071,499.0076942515,273.4250609087,393.0606629132
2023-02-14 04:15:00+09:00,134.9370420245,349.3368675988,862.5699338875,502.6954376402,276.9997107664,398.4341751999
2023-02-14 05:15:00+09:00,134.5346577368,350.3146446993,863.7571700993,503.1281176972,277.5805747495,399.2932740104
2023-02-14 06:15:00+09:00,134.1068279078,350.409717921,863.8071187702,503.0085119515,276.854734224,398.2384677215
2023-02-14 07:15:00+09:00,133.715424436,350.6831136423,863.9312750368,502.8325191774,276.04209489,397.4523011205
2023-02-14 08:15:00+09:00,134.3397098591,351.5791191434,867.0639210031,504.4519870161,278.0789770173,400.6459373665
2023-02-14 09:15:00+09:00,135.5270075493,353.3811288082,873.7954094935,507.4708444307,281.197474201,405.2897886055
2023-02-14 10:15:00+09:00,135.3297726828,353.0096127691,870.8510949184,506.1497509496,280.1585265606,403.798901396
2023-02-14 11:15:00+09:00,135.0272198947,352.7316581682,877.2269260044,507.1537885212,278.9650342893,402.461420579
2023-02-14 12:15:00+09:00,135.1552143476,353.3677484998,878.3854478562,507.4787520385,278.0734249493,401.5870328998
2023-02-14 13:15:00+09:00,134.5037125459,352.6644234569,869.551541681,505.0678577171,276.473751239,399.2424564797
2023-02-14 14:15:00+09:00,134.6897728638,352.7092911025,871.2269328524,506.1333725906,277.4607999456,401.460413791
2023-02-14 15:15:00+09:00,134.578025809,352.9591813106,871.2985823038,506.2436237667,276.9184034127,400.8526041492
2023-02-14 16:15:00+09:00,134.9903087744,352.6321842713,873.6499015631,507.1099973504,277.712109147,401.931551176
2023-02-14 17:15:00+09:00,134.9897813693,352.0990478997,874.0074434973,507.0311172659,276.9393551319,400.9912500547
2023-02-14 18:15:00+09:00,134.0827186907,351.1530084801,871.7405064437,505.8157413677,276.0351191401,400.0763799736
2023-02-14 19:15:00+09:00,136.0263921162,353.1277355207,879.7681071881,509.6451348829,280.5544740864,405.7523004147
2023-02-14 20:15:00+09:00,135.9672176623,353.1713517191,877.0902975993,508.4234344942,279.2900832066,403.7730237262
2023-02-14 21:15:00+09:00,136.0167914972,352.3926933125,876.9274709235,508.3702348367,278.8923970276,402.8968304312
2023-02-14 22:15:00+09:00,136.2242826648,351.1402886854,880.7654674068,510.1127055322,279.7032368701,404.2979520629
2023-02-14 23:15:00+09:00,136.5398315641,348.8602931979,875.3506289525,506.864327367,278.7258958717,403.2653177699
2023-02-15 00:15:00+09:00,140.4527580022,357.2055375279,904.5225756266,522.4322294195,291.5618708226,420.355439855
2023-02-15 01:15:00+09:00,139.493917375,355.7852605224,898.3151560306,518.1724239965,291.0758340767,418.4356829871
2023-02-15 02:15:00+09:00,139.2643189174,355.8649458341,897.0750852842,517.5945471142,291.9657826405,419.3165438032
2023-02-15 03:15:00+09:00,140.7746639221,357.3462330703,900.4521160384,519.5906799566,295.526608983,423.5591176633
2023-02-15 04:15:00+09:00,140.8150528487,357.0863184741,900.7987928462,519.3909321429,295.2223298906,423.0669074377
2023-02-15 05:15:00+09:00,141.2047386647,358.5610514285,905.3356791587,521.7352968701,296.3234494696,424.6117680268
2023-02-15 06:15:00+09:00,140.2481615135,358.7536070465,901.3719126876,520.0422017791,294.8824137215,422.3802340724
2023-02-15 07:15:00+09:00,141.0151607258,359.7676169279,903.157363601,521.5055023688,296.3283112932,424.3112147883
2023-02-15 08:15:00+09:00,141.1992221626,361.0334480344,904.8457058229,522.3825967199,296.7791023146,425.2872704004
2023-02-15 09:15:00+09:00,141.0718068825,362.1451046207,902.6519490894,521.1631210085,296.6106138243,425.5919302071
2023-02-15 10:15:00+09:00,140.2439746997,360.9260415648,899.6434783137,519.8905599001,294.0969609471,422.0265645474
2023-02-15 11:15:00+09:00,140.2325735467,361.7080686785,898.641359182,519.246288837,292.9055007591,420.3092057923
2023-02-15 12:15:00+09:00,140.0465246136,361.6957928047,897.9089309724,518.6037786332,291.258469234,418.8604033985
2023-02-15 13:15:00+09:00,140.6064096182,361.7224653413,900.4241712127,520.1640593292,292.1318008508,420.3627213874
2023-02-15 14:15:00+09:00,140.8639642607,364.1697584412,900.8909673782,520.5609934383,292.6267972974,420.7774785534
2023-02-15 15:15:00+09:00,141.3003258733,364.9973497312,901.3573130747,521.3344099572,297.4392283544,426.8962725186
2023-02-15 16:15:00+09:00,142.2887576096,366.5527312202,901.9258447021,521.5500320656,297.5730095078,427.9056183461
2023-02-15 17:15:00+09:00,141.1087547467,366.1573400119,898.9484463234,520.1649659936,295.7296349605,425.7601758683
2023-02-15 18:15:00+09:00,141.2082464205,365.7589041791,900.6329288838,520.7372446581,296.821295521,426.6850559211
2023-02-15 19:15:00+09:00,141.5513236791,365.8218926203,902.0601786132,521.5987540244,297.6663027092,427.813457426
2023-02-15 20:15:00+09:00,141.8146329837,366.8163110007,905.5469244568,523.462031278,298.8811515616,429.5997815784
2023-02-15 21:15:00+09:00,144.1993419976,370.5245737123,919.2601711328,531.4132756915,304.0677167246,436.3203063825
2023-02-15 22:15:00+09:00,144.075182765,372.9164943403,922.0645025613,533.0733423921,305.4510647446,438.0621302737
2023-02-15 23:15:00+09:00,143.5854414936,373.3881430785,920.4248276018,531.9647945766,305.808204008,438.243794588
2023-02-16 00:15:00+09:00,143.0801109937,373.0093185596,917.2085022896,530.8506778432,305.3080260544,436.6272041953
2023-02-16 01:15:00+09:00,144.7828408313,375.8382609472,922.2220009345,533.9925728181,308.6611731477,442.0388751599
2023-02-16 02:15:00+09:00,143.9405921591,376.0679607551,917.5498664333,531.8229013581,308.1801515126,440.7311114784
2023-02-16 03:15:00+09:00,143.8550167972,377.1880196693,918.8258057882,532.4271080369,308.2901970434,441.8175680178
2023-02-16 04:15:00+09:00,145.0398711182,379.3569492416,926.013656639,537.2085273415,310.7547493524,445.2173758296
2023-02-16 05:15:00+09:00,148.0602385873,384.2890084689,942.57973528,547.487518466,316.8235755337,453.5878225344
2023-02-16 06:15:00+09:00,149.7070382392,388.9232938496,959.3698891261,557.5998167421,322.4582297974,461.0007266442
2023-02-16 07:15:00+09:00,149.6341965426,390.4048155783,958.8631128027,558.3611271619,321.9118117148,459.7555784678
2023-02-16 08:15:00+09:00,150.5958730552,391.6896877162,963.754490281,559.974342623,323.3815315698,462.0355658146
2023-02-16 09:15:00+09:00,151.8970529542,393.7332897533,971.9864853358,564.4895210434,327.232957578,467.0709018536
2023-02-16 10:15:00+09:00,150.8962443914,397.4316394898,976.4395586473,567.3121298061,327.7693684309,468.5053605311
2023-02-16 11:15:00+09:00,151.3950682385,399.1479340648,975.451358736,566.9148841022,327.7563111047,470.0471830075
2023-02-16 12:15:00+09:00,151.7753246822,400.2837991003,979.0229189884,568.491226935,329.3902993231,472.1882594031
2023-02-16 13:15:00+09:00,151.2876311136,405.9065560423,975.5583281869,567.3947918081,328.9799744586,470.9150664906
2023-02-16 14:15:00+09:00,151.1018437189,402.671437567,979.9006782825,568.379730956,328.2250298563,470.7381724221
2023-02-16 15:15:00+09:00,151.4226575145,403.2270141672,978.1681783984,568.2822902688,328.6540704262,471.0427906937
2023-02-16 16:15:00+09:00,150.0237801175,400.8678149105,972.1756451201,564.6526338105,327.0867599712,468.4253375816
2023-02-16 17:15:00+09:00,149.1307566753,398.7960299569,969.7827521316,564.2442970417,326.3689540743,466.7334917512
2023-02-16 18:15:00+09:00,148.8804697066,397.9242955147,971.822877749,564.8231150455,327.0675981711,467.8272448707
2023-02-16 19:15:00+09:00,149.737795117,401.4206953111,976.4487297883,567.0638149884,330.7841688603,472.1977984607
2023-02-16 20:15:00+09:00,148.6788918633,400.0345010646,972.7708733326,565.4869555225,328.2081337602,469.1746619069
2023-02-16 21:15:00+09:00,147.4737395514,396.9060517673,966.302726654,562.4365926701,324.7276944547,464.83130268
2023-02-16 22:15:00+09:00,148.6615128578,397.1224076992,972.2652572972,565.3750572169,327.1470256372,468.0282083555
2023-02-16 23:15:00+09:00,146.7884910136,393.7307723719,964.4088781765,561.3906361599,322.7208183314,461.5867179299
2023-02-17 00:15:00+09:00,147.5662490095,394.8819883448,968.5361122522,563.1791126235,324.7798151075,464.7482433066
2023-02-17 01:15:00+09:00,148.336239891,397.0007593129,975.5465994341,567.5987910931,324.799589152,465.111939251
2023-02-17 02:15:00+09:00,150.3410387096,399.1577392892,982.280122204,571.5584965039,330.3973724315,471.8188089683
2023-02-17 03:15:00+09:00,150.6659781198,399.2482999334,985.2393516255,572.3885949146,330.703794905,472.4087047651
2023-02-17 04:15:00+09:00,150.8286466837,400.4898995415,984.8445677863,572.5577294232,331.4274609958,473.3157861006
2023-02-17 05:15:00+09:00,149.0575137358,399.9061125203,978.3243150232,569.1772259378,326.6337142197,467.414264703
2023-02-17 06:15:00+09:00,147.0703250671,395.7466807366,964.2354798543,561.6341563255,321.1026777578,458.9687271248
2023-02-17 07:15:00+09:00,146.2496449682,394.4209620147,959.5569086871,559.7791546445,318.9316966336,456.2929894691
2023-02-17 08:15:00+09:00,141.7102391835,387.25780886,944.6618589324,550.5020065994,308.4378322491,440.5968217073
2023-02-17 09:15:00+09:00,141.0309228729,384.5693836553,938.6251103259,545.0647974435,307.1252856019,438.5432904587
2023-02-17 10:15:00+09:00,142.1441701786,389.1031427094,947.583953863,549.2532820209,311.9662284208,446.0816803779
2023-02-17 11:15:00+09:00,142.3774669142,389.6154174328,949.7995864358,550.1032170097,312.239902027,445.4673956371
2023-02-17 12:15:00+09:00,142.9196600816,390.3898657704,952.8426587474,551.6231188359,315.2773254982,449.021905597
2023-02-17 13:15:00+09:00,144.0161994698,390.5847182205,956.7937683168,553.5034690345,317.6793403681,453.352114343
2023-02-17 14:14:00+09:00,142.4837846091,388.6741904027,950.4242213056,550.4350751663,313.5819155852,447.7471819243
