timestamp,X30,XMN,XKC,XDEFI,XNFT,XGM
2022-12-21 12:30:00+09:00,401.6119891986,667.5748313272,265.7284313551,93.1095069975,266.9320147777,176.5036643834
2022-12-21 13:30:00+09:00,400.399221907,665.343731112,265.0001048293,92.9234943724,266.1649450298,176.0051865934
2022-12-21 14:30:00+09:00,400.6256416334,665.2024206777,264.1913970717,92.9633919658,267.0270011048,175.9446861068
2022-12-21 15:30:00+09:00,401.591265751,667.014146558,265.2675179513,93.3973703329,267.8595815612,176.4276727959
2022-12-21 16:30:00+09:00,401.4345935483,666.9928421093,267.0813824003,93.463052141,268.089576775,176.5984743297
2022-12-21 17:30:00+09:00,400.4703890919,664.7461061956,265.9714320308,93.1019885898,267.0845994426,175.8451358125
2022-12-21 18:30:00+09:00,402.6654654926,668.6930291025,267.4797593404,93.7918937732,269.1203603171,177.5194469309
2022-12-21 19:30:00+09:00,403.0546379616,669.8713175808,270.172565505,93.9038882052,269.1772834386,177.3555736545
2022-12-21 20:30:00+09:00,402.8021019814,669.07140104,268.1835958056,93.7278293002,268.923325852,177.18802998
2022-12-21 21:30:00+09:00,402.3984665591,668.3522281761,268.3866418169,93.8679075941,268.3529992031,176.8020324463
2022-12-21 22:30:00+09:00,402.2607422952,667.9254437712,268.156750821,93.913272742,268.1628968662,176.9308997693
2022-12-21 23:30:00+09:00,402.4898470908,667.9379199826,266.6504693261,93.8338692377,267.9279308841,176.8437356166
2022-12-22 00:30:00+09:00,401.8485375575,666.6374093636,265.6617088793,93.667450659,267.6144116468,176.6581078268
2022-12-22 01:30:00+09:00,402.0732201437,667.036746773,266.4087433741,93.939705901,267.6914502667,176.6194931277
2022-12-22 02:30:00+09:00,400.9759145928,665.197615161,265.8142317676,93.4827925918,267.4019625412,175.9099664782
2022-12-22 03:30:00+09:00,401.1379209299,665.524372046,265.6307879623,93.406860512,266.5021608989,175.5271886391
2022-12-22 04:30:00+09:00,401.0252868077,665.4851858188,265.1689468744,93.315978717,266.0030732503,175.0957824505
2022-12-22 05:30:00+09:00,400.2833892129,663.4031794464,264.9025828838,92.9894281503,265.12351215,174.2805261281
2022-12-22 06:30:00+09:00,401.0212874783,664.6235914307,265.353149036,93.0218416284,265.6490953785,174.6123260665
2022-12-22 07:30:00+09:00,400.8597173276,664.0437440734,265.5635275997,92.8446139585,266.3975493633,175.1306825342
2022-12-22 08:30:00+09:00,401.271639466,665.0429079715,265.7647041325,93.1823278091,267.1646924828,175.7376610985
2022-12-22 09:30:00+09:00,401.6982833128,665.6402099968,266.6135808127,93.3889022925,267.6117538012,175.994520388
2022-12-22 10:30:00+09:00,402.5050825362,667.4566450489,267.1563626706,93.9469778013,268.8728651687,177.2621871612
2022-12-22 11:30:00+09:00,401.7620177911,665.880293451,267.1691643227,93.6551596517,268.6841056492,177.2324232381
2022-12-22 12:30:00+09:00,402.3838689052,667.0150193268,266.5191242474,93.8080762268,269.5579722017,177.3097220828
2022-12-22 13:30:00+09:00,402.3504089169,666.9494793633,266.3045738956,93.6925759563,269.8398205929,177.0211979779
2022-12-22 14:30:00+09:00,401.7114772495,665.5298699382,266.137122733,93.474498637,268.9404111466,176.3205087439
2022-12-22 15:30:00+09:00,401.3727415919,664.7434723092,265.5117727893,93.2313724637,268.0207096342,175.8172700904
2022-12-22 16:30:00+09:00,401.2233403627,663.7099401328,264.756341994,92.9621397562,267.6015961094,175.1639791165
2022-12-22 17:30:00+09:00,402.0999411194,665.6209279677,264.3758284255,93.1341054687,268.8887155901,176.369788986
2022-12-22 18:30:00+09:00,402.1833542024,665.6243822074,264.974958828,93.2970035217,271.5438545467,178.4972618878
2022-12-22 19:30:00+09:00,402.818508606,666.9414591669,265.0972581995,93.4824500492,271.3581114007,178.2535431971
2022-12-22 20:30:00+09:00,401.7906949481,664.9176043449,264.6072255019,93.0829068305,270.1442767665,177.4680712544
2022-12-22 21:30:00+09:00,402.7681838195,666.1161741165,266.7092922555,93.3610189723,270.396125171,177.5119238493
2022-12-22 22:30:00+09:00,402.0164521574,664.4668446969,264.465742407,93.0628007667,270.2931435861,177.5771176596
2022-12-22 23:30:00+09:00,400.3180951885,661.293147207,263.7252632072,92.4044477815,268.1630044853,176.2772800173
